electron	GHSA-2q4g-w47c-4674				
electron	GHSA-3c8v-cfp5-9885				
electron	GHSA-3p22-ghq8-v749				
electron	GHSA-4p4r-m79c-wq3v				
electron	GHSA-4w88-rjj3-x7wp				
electron	GHSA-532v-xpq5-8h95				
electron	GHSA-56pc-6jqp-xqj8				
electron	GHSA-5rqw-r77c-jp79				
electron	GHSA-6h98-cf9g-vmg2				
electron	GHSA-6r2x-8pq8-9489				
electron	GHSA-6vrv-94jv-crrg				
electron	GHSA-77xc-hjv8-ww97				
electron	GHSA-7fv9-m79r-j9x8				
electron	GHSA-7m48-wc93-9g85				
electron	GHSA-7x97-j373-85x5				
electron	GHSA-8337-3p73-46f4				
electron	GHSA-8x5q-pvf5-64mp				
electron	GHSA-8xwg-wv7v-4vqp				
electron	GHSA-9899-m83m-qhpj				
electron	GHSA-995f-9x5r-2rcj				
electron	GHSA-9w97-2464-8783				
electron	GHSA-9wfr-w7mm-pc7f				
electron	GHSA-f37v-82c4-4x64				
electron	GHSA-f3pv-wv63-48x8				
electron	GHSA-f9mq-jph6-9mhm				
electron	GHSA-fjqr-fx3f-g4rv				
electron	GHSA-gvcj-pfq2-wxj7				
electron	GHSA-gxh7-wv9q-fwfr				
electron	GHSA-h9jc-284h-533g				
electron	GHSA-hv9c-qwqg-qj3v				
electron	GHSA-hvf8-h2qh-37m9				
electron	GHSA-j7hp-h8jx-5ppr				
electron	GHSA-jfqg-hf23-qpw2				
electron	GHSA-jfqx-fxh3-c62j				
electron	GHSA-jjp3-mq3x-295m				
electron	GHSA-m93v-9qjc-3g79				
electron	GHSA-mpjm-v997-c4h4				
electron	GHSA-mq8j-3h7h-p8g7				
electron	GHSA-mwmh-mq4g-g6gr				
electron	GHSA-p2jh-44qj-pf2v				
electron	GHSA-p7v2-p9m8-qqg7				
electron	GHSA-qqvq-6xgj-jw8g				
electron	GHSA-r5p7-gp4j-qhrx				
electron	GHSA-vmqv-hx8q-j7mg				
electron	GHSA-w222-53c6-c86p				
electron	GHSA-xj5x-m3f3-5x3h				
electron	GHSA-xw5q-g62x-2qjc				
electron	GHSA-xwr5-m59h-vwqr				
nats	GHSA-82rf-q3pr-4f6p				
nats	GHSA-prmc-5v5w-c465				
next	GHSA-223j-4rm8-mrmf				
next	GHSA-25mp-g6fv-mqxx				
next	GHSA-267c-6grr-h53f				
next	GHSA-26hh-7cqf-hhc6				
next	GHSA-36qx-fr4f-26g5				
next	GHSA-3f5c-4qxj-vmpf				
next	GHSA-3g8h-86w9-wvmq				
next	GHSA-3h52-269p-cp9r				
next	GHSA-3x4c-7xq6-9pq8				
next	GHSA-4342-x723-ch2f				
next	GHSA-492v-c6pp-mqqv				
next	GHSA-5f7q-jpqc-wp7h				
next	GHSA-5j59-xgg2-r9c4				
next	GHSA-5vj8-3v2h-h38v				
next	GHSA-67rr-84xm-4c7r				
next	GHSA-77r5-gw3j-2mpf				
next	GHSA-7gfc-8cq8-jh5f				
next	GHSA-7m27-7ghc-44w9				
next	GHSA-8h8q-6873-q5fj				
next	GHSA-9g9p-9gw9-jx7f				
next	GHSA-9gr3-7897-pp7m				
next	GHSA-9qr9-h5gf-34mp				
next	GHSA-c4j6-fc7j-m34r				
next	GHSA-c59h-r6p8-q9wc				
next	GHSA-f82v-jwr5-mffw				
next	GHSA-ffhc-5mcf-pf4q				
next	GHSA-fmvm-x8mv-47mj				
next	GHSA-fq54-2j52-jc42				
next	GHSA-fq77-7p7r-83rj				
next	GHSA-fr5h-rqp8-mj6g				
next	GHSA-g5qg-72qw-gw5v				
next	GHSA-g77x-44xx-532m				
next	GHSA-ggv3-7p47-pfv8				
next	GHSA-gp8f-8m3g-qvj9				
next	GHSA-gx5p-jg67-6x7h				
next	GHSA-h25m-26qc-wcjf				
next	GHSA-h27x-g6w4-24gq				
next	GHSA-h64f-5h5j-jqjh				
next	GHSA-jcc7-9wpm-mj36				
next	GHSA-m34x-wgrh-g897				
next	GHSA-mg66-mrh9-m8jx				
next	GHSA-mq59-m269-xvcx				
next	GHSA-mwv6-3258-q52c				
next	GHSA-q4gf-8mx6-v5v3				
next	GHSA-qpjv-v59x-3qc4				
next	GHSA-qw96-mm2g-c8m7				
next	GHSA-r2fc-ccr8-96c4				
next	GHSA-vfv6-92ff-j949				
next	GHSA-vxf5-wxwp-m7g9				
next	GHSA-w37m-7fhw-fmv9				
next	GHSA-wfc6-r584-vfw7				
next	GHSA-wff4-fpwg-qqv3				
next	GHSA-wr66-vrwm-5g5x				
next	GHSA-x56p-c8cg-q435				
next	GHSA-xv57-4mr9-wg8v				
react	GHSA-g53w-52xc-2j85				
react	GHSA-hg79-j56m-fxgv				
react-dom	GHSA-mvjj-gqq2-p4hw				
redis	GHSA-35q2-47q7-3pc3				
ws	GHSA-2mhh-w6q8-5hxw				
ws	GHSA-3h5v-q93c-6h6q				
ws	GHSA-58qx-3vcg-4xpx				
ws	GHSA-5v72-xg48-5rpm				
ws	GHSA-6663-c963-2gqg				
ws	GHSA-6fc8-4gx4-v693				
zod	GHSA-m95q-7qp3-xv42				
