./apps/desktop/package.json	@electron-forge/cli	^7.8.1
./apps/desktop/package.json	@electron-forge/core	^7.11.1
./apps/desktop/package.json	@electron-forge/maker-zip	^7.8.1
./apps/desktop/package.json	@types/node	^24.10.1
./apps/desktop/package.json	electron	^39.2.0
./apps/desktop/package.json	typescript	^5.9.3
./apps/web/package.json	@islandflow/types	workspace:*
./apps/web/package.json	@tanstack/react-virtual	^3.13.24
./apps/web/package.json	lightweight-charts	^4.2.0
./apps/web/package.json	next	^16.2.6
./apps/web/package.json	react	^19.2.0
./apps/web/package.json	react-dom	^19.2.0
./deployment/docker/workspace-root/package.json	@pierre/diffs	^1.2.2
./package.json	@pierre/diffs	^1.2.2
./packages/bus/package.json	@islandflow/types	workspace:*
./packages/bus/package.json	nats	^2.24.0
./packages/config/package.json	zod	^3.23.8
./packages/storage/package.json	@clickhouse/client	^0.2.6
./packages/storage/package.json	@islandflow/types	workspace:*
./packages/types/package.json	zod	^3.23.8
./services/api/package.json	@islandflow/bus	workspace:*
./services/api/package.json	@islandflow/config	workspace:*
./services/api/package.json	@islandflow/observability	workspace:*
./services/api/package.json	@islandflow/storage	workspace:*
./services/api/package.json	@islandflow/types	workspace:*
./services/api/package.json	redis	^5.10.0
./services/api/package.json	zod	^3.23.8
./services/candles/package.json	@islandflow/bus	workspace:*
./services/candles/package.json	@islandflow/config	workspace:*
./services/candles/package.json	@islandflow/observability	workspace:*
./services/candles/package.json	@islandflow/storage	workspace:*
./services/candles/package.json	@islandflow/types	workspace:*
./services/candles/package.json	redis	^5.10.0
./services/candles/package.json	zod	^3.23.8
./services/compute/package.json	@islandflow/bus	workspace:*
./services/compute/package.json	@islandflow/config	workspace:*
./services/compute/package.json	@islandflow/observability	workspace:*
./services/compute/package.json	@islandflow/refdata	workspace:*
./services/compute/package.json	@islandflow/storage	workspace:*
./services/compute/package.json	@islandflow/types	workspace:*
./services/compute/package.json	redis	^5.10.0
./services/compute/package.json	zod	^3.23.8
./services/eod-enricher/package.json	@islandflow/config	workspace:*
./services/eod-enricher/package.json	@islandflow/observability	workspace:*
./services/ingest-equities/package.json	@islandflow/bus	workspace:*
./services/ingest-equities/package.json	@islandflow/config	workspace:*
./services/ingest-equities/package.json	@islandflow/observability	workspace:*
./services/ingest-equities/package.json	@islandflow/storage	workspace:*
./services/ingest-equities/package.json	@islandflow/types	workspace:*
./services/ingest-equities/package.json	ws	^8.21.0
./services/ingest-equities/package.json	zod	^3.23.8
./services/ingest-news/package.json	@islandflow/bus	workspace:*
./services/ingest-news/package.json	@islandflow/config	workspace:*
./services/ingest-news/package.json	@islandflow/observability	workspace:*
./services/ingest-news/package.json	@islandflow/types	workspace:*
./services/ingest-news/package.json	ws	^8.21.0
./services/ingest-news/package.json	zod	^3.23.8
./services/ingest-options/package.json	@islandflow/bus	workspace:*
./services/ingest-options/package.json	@islandflow/config	workspace:*
./services/ingest-options/package.json	@islandflow/observability	workspace:*
./services/ingest-options/package.json	@islandflow/storage	workspace:*
./services/ingest-options/package.json	@islandflow/types	workspace:*
./services/ingest-options/package.json	@msgpack/msgpack	^3.1.3
./services/ingest-options/package.json	ws	^8.21.0
./services/ingest-options/package.json	zod	^3.23.8
./services/refdata/package.json	@islandflow/config	workspace:*
./services/refdata/package.json	@islandflow/observability	workspace:*
./services/replay/package.json	@islandflow/bus	workspace:*
./services/replay/package.json	@islandflow/config	workspace:*
./services/replay/package.json	@islandflow/observability	workspace:*
./services/replay/package.json	@islandflow/storage	workspace:*
./services/replay/package.json	@islandflow/types	workspace:*
./services/replay/package.json	zod	^3.23.8
